person,gender_Label,death_Label,job_Label,religion_Label,country_Label,language_Label
http://www.wikidata.org/entity/Q115657,male,capital punishment,student,Catholic Church,Switzerland,French
http://www.wikidata.org/entity/Q131355,male,capital punishment,lawyer,Islam,Pakistan,English
http://www.wikidata.org/entity/Q131355,male,capital punishment,lawyer,Shia Islam,Pakistan,English
http://www.wikidata.org/entity/Q131355,male,capital punishment,politician,Islam,Pakistan,English
http://www.wikidata.org/entity/Q131355,male,capital punishment,politician,Shia Islam,Pakistan,English
http://www.wikidata.org/entity/Q131355,male,capital punishment,diplomat,Islam,Pakistan,English
http://www.wikidata.org/entity/Q131355,male,capital punishment,diplomat,Shia Islam,Pakistan,English
http://www.wikidata.org/entity/Q131412,female,capital punishment,politician,Catholicism,Scotland,French
http://www.wikidata.org/entity/Q131412,female,capital punishment,politician,Catholicism,Scotland,English
http://www.wikidata.org/entity/Q131412,female,capital punishment,politician,Catholicism,Scotland,Scots
http://www.wikidata.org/entity/Q131412,female,capital punishment,sovereign,Catholicism,Scotland,French
http://www.wikidata.org/entity/Q131412,female,capital punishment,sovereign,Catholicism,Scotland,English
http://www.wikidata.org/entity/Q131412,female,capital punishment,sovereign,Catholicism,Scotland,Scots
http://www.wikidata.org/entity/Q133808,male,capital punishment,military personnel,Catholic Church,Mexico,Spanish
http://www.wikidata.org/entity/Q133808,male,capital punishment,politician,Catholic Church,Mexico,Spanish
http://www.wikidata.org/entity/Q134123,male,capital punishment,politician,Catholic Church,Bulgaria,German
http://www.wikidata.org/entity/Q134123,male,capital punishment,politician,Catholic Church,Bulgaria,Bulgarian
http://www.wikidata.org/entity/Q134123,male,capital punishment,politician,Catholic Church,Kingdom of Bulgaria,German
http://www.wikidata.org/entity/Q134123,male,capital punishment,politician,Catholic Church,Kingdom of Bulgaria,Bulgarian
http://www.wikidata.org/entity/Q151173,male,capital punishment,military personnel,Catholic Church,France,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,military personnel,Catholic Church,Kingdom of Naples,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,military personnel,Catholic Church,Grand Duchy of Berg,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,politician,Catholic Church,France,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,politician,Catholic Church,Kingdom of Naples,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,politician,Catholic Church,Grand Duchy of Berg,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,officer,Catholic Church,France,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,officer,Catholic Church,Kingdom of Naples,French
http://www.wikidata.org/entity/Q151173,male,capital punishment,officer,Catholic Church,Grand Duchy of Berg,French
http://www.wikidata.org/entity/Q154346,male,capital punishment,politician,Catholic Church,Austria-Hungary,Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,politician,Catholic Church,Czechoslovakia,Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,politician,Catholic Church,Slovak Republic (1939-1945),Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,Catholic priest,Catholic Church,Austria-Hungary,Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,Catholic priest,Catholic Church,Czechoslovakia,Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,Catholic priest,Catholic Church,Slovak Republic (1939-1945),Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,cleric,Catholic Church,Austria-Hungary,Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,cleric,Catholic Church,Czechoslovakia,Slovak
http://www.wikidata.org/entity/Q154346,male,capital punishment,cleric,Catholic Church,Slovak Republic (1939-1945),Slovak
http://www.wikidata.org/entity/Q172862,male,capital punishment,poet,Islam,Abbasid Caliphate,Persian
